kinase,num_random_aa,random_aa,kinase_type
SYK,18,"exclude Y,C",Tyr kinase
PTK2,18,"exclude Y,C",Tyr kinase
ZAP70,18,"exclude Y,C",Tyr kinase
ERBB2,18,"exclude Y,C",Tyr kinase
CSK,18,"exclude Y,C",Tyr kinase
FGFR4,18,"exclude Y,C",Tyr kinase
EGFR,18,"exclude Y,C",Tyr kinase
ERBB4,18,"exclude Y,C",Tyr kinase
EPHA8,18,"exclude Y,C",Tyr kinase
EPHA7,18,"exclude Y,C",Tyr kinase
EPHA5,18,"exclude Y,C",Tyr kinase
EPHA2,18,"exclude Y,C",Tyr kinase
EPHB2,18,"exclude Y,C",Tyr kinase
EPHB1,18,"exclude Y,C",Tyr kinase
EPHB3,18,"exclude Y,C",Tyr kinase
EPHB4,18,"exclude Y,C",Tyr kinase
EPHA4,18,"exclude Y,C",Tyr kinase
EPHA3,18,"exclude Y,C",Tyr kinase
EPHA6,18,"exclude Y,C",Tyr kinase
FRK,18,"exclude Y,C",Tyr kinase
EPHA1,18,"exclude Y,C",Tyr kinase
TEC,18,"exclude Y,C",Tyr kinase
BTK,18,"exclude Y,C",Tyr kinase
ITK,18,"exclude Y,C",Tyr kinase
BMX,18,"exclude Y,C",Tyr kinase
TXK,16,"exclude S,T,Y,C",Tyr kinase
ABL2,18,"exclude Y,C",Tyr kinase
ABL1,18,"exclude Y,C",Tyr kinase
SRMS,18,"exclude Y,C",Tyr kinase
PTK2B,18,"exclude Y,C",Tyr kinase
FER,18,"exclude Y,C",Tyr kinase
MERTK,18,"exclude Y,C",Tyr kinase
AXL,18,"exclude Y,C",Tyr kinase
FES,18,"exclude Y,C",Tyr kinase
PTK6,18,"exclude Y,C",Tyr kinase
YES1,18,"exclude Y,C",Tyr kinase
FGR,18,"exclude Y,C",Tyr kinase
SRC,18,"exclude Y,C",Tyr kinase
FYN,18,"exclude Y,C",Tyr kinase
LCK,18,"exclude Y,C",Tyr kinase
BLK,18,"exclude Y,C",Tyr kinase
LYN,18,"exclude Y,C",Tyr kinase
HCK,18,"exclude Y,C",Tyr kinase
PDGFRB,18,"exclude Y,C",Tyr kinase
PDGFRA,18,"exclude Y,C",Tyr kinase
FLT3,18,"exclude Y,C",Tyr kinase
TYRO3,18,"exclude Y,C",Tyr kinase
