kinase,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,PCA26,PCA27,PCA28,PCA29,PCA30,PCA31,PCA32
AAK1,-0.529323118537834,-0.5294215170188727,-0.27788469776330277,0.4270818438335656,-0.1910128796493416,-0.20637807837509306,0.036361601402622686,0.2836394378044902,-0.033679640943910114,-0.34597708877599737,-0.3206718183252079,0.1917196839697055,0.16498415575223815,0.10552802769444017,-0.10207581951621289,0.17740875293701544,-0.06580825446430576,-0.3245078219210746,-0.18694193381994714,-0.15472184262294736,0.10845131510772399,-0.0485349022405924,0.05939404690654919,-0.14419438854677283,-0.0688077096778144,-0.030774580498812,-0.1777925545991448,-0.13250928031900705,0.03895494828782927,0.09074957887743584,-0.1289409453347312,-0.11676339195372946
ALK2,0.7324074309900199,-0.4176060158197827,0.17819096807192641,1.0782887429899288,-0.3130064000879233,-0.41463045046180924,0.3473054838572587,-0.4318788034827062,0.07268260430904631,-0.011725758710808467,0.042879050030487434,-0.2231553436230538,0.18294088681587545,0.09200026716862567,-0.012982171323838372,0.2630726923798395,-0.38159439012128105,-0.08709417625352568,-0.1471701183661471,-0.1027708204030657,-0.10395538650535621,-0.014752629098650216,-0.14206247552476509,-0.07831727639374712,-0.01413049414959171,-0.04697668652387649,0.059015730732167614,-0.016486891836516884,-0.008258251065514612,0.05180912852873653,0.04016397572129652,-0.03961468650903384
ALK4,0.17819445103235157,-0.2904568949626103,0.021213500059195856,0.9459662276420255,-0.20417387917571847,-0.3983335124160172,0.2679934177026178,-0.33583786021970946,0.3190497345918551,-0.06420504953139539,0.1035381156781343,-0.10396488282370335,0.16836897770974155,0.10476549648551359,-0.11541062009786027,0.24196213941778055,-0.2825941933816925,-0.10456605043786751,0.001614285171691474,-0.0811517506610548,-0.21689290747425188,0.07332461503238875,-0.0794079515555019,-0.0073175795627526815,-0.08312755089960217,-0.011328722492552058,-0.05779021760086283,0.06341894754227177,0.09915554108962614,-0.02840340987182974,0.15590321704982738,-0.03241274954490068
ACVR2A,2.080290242602762,0.5643763144541082,0.2977123145051535,0.6625325903935233,-0.12908792001255792,-0.30572040643517623,0.4026675313281121,-0.2575117010125663,0.15144736605029663,0.16861460780092472,0.13471496256654136,-0.001692493137023653,-0.130807119212433,-0.10186459842434366,-0.19528226919701835,0.42221255722876533,-0.1671371194727179,0.07800609096822181,0.14368224794247306,-0.10591598736567077,-0.20595828772212296,0.1073600569914024,0.04558051325034902,-0.011293495696985727,-0.030729681246080838,-0.13064589472959806,-0.11097453356138551,-0.09335348189410805,0.018720075557087334,0.024417565059487008,0.07883310692404401,-0.0025079132347973297
ACVR2B,1.6118467174941356,0.36452442916078204,0.5198588607221535,0.6921227311356405,-0.20105883468927535,-0.3895187811498005,0.3429756496004016,-0.38378474894682263,0.10241735901983083,0.11262825727864037,0.10860488369747057,-0.05768453559571873,-0.01319555778966546,-0.047533334097230144,-0.21320194185351618,0.3578831688331205,-0.17412468869538836,0.02673874507536483,0.12381505229141604,-0.08362849872632357,-0.258119920756673,0.15292734441738373,-0.02840995913797789,0.015682186129495835,-0.03644508227037045,-0.0898381121785414,-0.03278384978778631,-0.14661087249864158,0.039380473528633705,-0.08454028838436817,-0.011808184987185923,-0.07585794119940084
AKT1,1.884150030882025,-0.36286822919233214,0.1001286965041653,-0.7047172478144721,0.4555492632703879,0.054175912646497876,-0.26549350266726274,-0.1439772855070617,0.08714343147008648,-0.17779296750347304,0.12287508187034057,-0.19846370130120222,-0.02538189038026337,-0.17759885021780994,-0.0019157319962580085,0.010075858902293448,-0.013146171444280473,-0.07591003316558052,0.06045374291111159,0.017007556541163274,-0.08725364378159488,0.04162549904690072,-0.15255191977237945,0.01655255343322886,0.17773406792603352,-0.011125152895662347,-0.10588661151589303,0.0059555448547113435,-0.025685214244154438,-0.01882408632175254,0.023352497921000016,0.045704849831692373
AKT2,1.976644210365702,-0.15065879361322235,-0.02359221056636619,-0.41560546709729507,0.339783783490264,0.12134260290117242,-0.2344708872311734,-0.07085361171317649,0.21795313773387864,-0.1412783054250573,0.16315460915482374,-0.2338031928882669,0.12851278123453072,-0.014600097309267515,0.07109294820877654,0.023626277084334613,-0.08848796100271661,0.030064182778310324,-0.003158554989235966,0.08576023089167191,-0.0017672005695171275,0.0934137484175324,-0.11561660180124993,-0.060647461208236754,-0.06631193245286932,-0.031025138420315054,-0.05713223569804985,-0.026427024730677314,0.06467379425962845,0.03650646814391729,0.009898227516713527,0.042845109014254715
AKT3,1.440479854827205,-0.49939505154348446,-0.20824215600795315,-0.6372340544839474,0.42818932846905533,-0.025158677765840357,-0.26338965396603914,-0.08304069754559583,0.2087882312310305,-0.1622926430700703,0.2181557015979086,-0.17014578605015865,0.05726381071168375,-0.058836944307787784,0.03602076670509395,-0.022502885662786517,-0.02880094988674896,-0.07841195607254098,0.05846024658099501,-0.02692296530600972,-0.07746712083158826,-0.015258495432089085,-0.14727008238267614,-0.007827210401022822,0.14594372506795575,0.031431893340768256,-0.07049753588289788,0.028903668286865608,-0.06489598666124739,0.0269535518353018,-0.012984382993003163,0.03614009861500336
ALPHAK3,-2.1129699681227057,2.1153094627033813,0.19376522159974624,0.3471173574405296,0.23332148937510339,-0.19845418168647774,-0.5626582268207831,-0.05862868285840938,0.008237745887852612,0.08824740395943571,0.05026014458404823,0.09251756760833652,-0.1609042759633525,-0.14209878032947684,0.0428153190703896,-0.04679245173552426,0.17618865334994235,0.11853007411204707,0.0497095397476267,0.09488725010892214,0.07195476183630004,0.10715643997515523,-0.20082883159446702,0.11316343728035239,0.03842723550111184,-0.05269631094241765,-0.1971238166530662,-0.07490777567032596,-0.24243782355620086,0.041831097392684626,-0.047013450417367944,-0.036516242826496924
AURA,-1.3852790694019455,-0.2631081948098469,-0.09793153939328066,-0.3001473865779278,0.006439050606701927,-0.13500124419873033,0.06638237556833254,0.07733891985565959,-0.2201502462751124,0.38007909905094384,-0.30821046241465294,0.010710068508830526,0.11795750368348135,-0.19060538659001672,0.003398426255670731,0.04454363061383018,0.05294780351712268,-0.3517632756467783,0.13820775113313613,0.07397631498127304,0.02696161327016944,-0.1318849425159845,0.14190256438205315,-0.06786264884601323,-0.14274581551575474,-0.22421789065109166,-0.026278914316039518,0.0007545821036643902,-0.0016510138464022222,0.07213234480825653,-0.0813880155957914,-0.164266455154608
