kinase,uniprot
AAK1,Q2M2I8
ABL1,P00519
ABL2,P42684
TNK2,Q07912
ACVR2A,P27037
ACVR2B,Q13705
ADCK1,Q86TW2
ADCK2,Q7Z695
COQ8A,Q8NI60
COQ8B,Q96D53
ADCK5,Q3MIX3
AKT1,P31749
AKT2,P31751
AKT3,Q9Y243
ALK,Q9UM73
ACVRL1,P37023
ALK2,Q04771
ALK4,P36896
ACVR1C,Q8NER5
ALPK3,Q96L96
ALPK2,Q86TB3
ALPHAK3,Q96QP1
AMPKA1,Q13131
AMPKA2,P54646
ANKRD3,P57078
NPR1,P16066
NPR2,P20594
ARAF,P10398
ATM,Q13315
ATR,Q13535
AURA,O14965
AURB,Q96GD4
AURC,Q9UQB9
AXL,P30530
GRK2,P25098
GRK3,P35626
BCKDK,O14874
BIKE,Q9NSY1
BLK,P51451
BMPR1A,P36894
BMPR1B,O00238
BMPR2,Q13873
BMX,P51813
BRAF,P15056
BRD2,P25440
BRD3,Q15059
BRD4,O60885
BRDT,Q58F21
PTK6,Q13882
BRSK1,Q8TDC3
BRSK2,Q8IWQ3
BTK,Q06187
BUB1,O43683
BUB1B,O60566
CAMK1A,Q14012
CAMK1B,Q6P2M8
CAMK1D,Q8IU85
CAMK1G,Q96NX5
CAMK2A,Q9UQM7
CAMK2B,Q13554
CAMK2D,Q13557
CAMK2G,Q13555
CAMK4,Q16566
CAMKK1,Q8N5S9
CAMKK2,Q96RR4
CAMLCK,Q32MK0
CASK,O14936
PTK7,Q13308
CDK20,Q8IZL9
CDK1,P06493
CDC7,O00311
CDK10,Q15131
CDK19,Q9BWU1
CDK2,P24941
CDK3,Q00526
CDK4,P11802
CDK5,Q00535
CDK6,Q00534
CDK7,P50613
CDK8,P49336
CDK9,P50750
CDKL1,Q00532
CDKL2,Q92772
CDKL3,Q8IVW4
CDKL4,Q5MAI5
CDKL5,O76039
CHAK1,Q96QT4
CHAK2,Q9BX84
CDK13,Q14004
CHK1,O14757
CHK2,O96017
CK1A,P48729
CK1A2,Q8N752
CK1D,P48730
CK1E,P49674
CK1G1,Q9HCP0
CK1G2,P78368
CK1G3,Q9Y6M4
CK2A1,P68400
CK2A2,P19784
STK35,Q8TDR2
PDIK1L,Q8N165
CLK1,P49759
CLK2,P49760
CLK3,P49761
CLK4,Q9HAZ1
COT,P41279
CRIK,O14578
CDK12,Q9NYV4
CSK,P41240
MATK,P42679
GUCY2D,Q02846
GUCY2F,P51841
DAPK1,P53355
DAPK2,Q9UIK4
DAPK3,O43293
DCAMKL1,O15075
DCAMKL2,Q8N568
DCLK3,Q9C098
DDR1,Q08345
DDR2,Q16832
DLK,Q12852
DMPK1,Q09013
CDC42BPG,Q6DT37
DNAPK,P78527
DRAK1,Q9UEE5
STK17B,O94768
DYRK1A,Q13627
DYRK1B,Q9Y463
DYRK2,Q92630
DYRK3,O43781
DYRK4,Q9NR20
EGFR,P00533
EPHA1,P21709
EPHA10,Q5JZY3
EPHA2,P29317
EPHA3,P29320
EPHA4,P54764
EPHA5,P54756
EPHA6,Q9UF33
EPHA7,Q15375
EPHA8,P29322
EPHB1,P54762
EPHB2,P29323
EPHB3,P54753
EPHB4,P54760
EPHB6,O15197
ERBB2,P04626
ERBB3,P21860
ERBB4,Q15303
ERK1,P27361
ERK2,P28482
MAPK6,Q16659
MAPK4,P31152
ERK5,Q13164
ERK7,Q8TD08
PTK2,Q05397
FER,P16591
FES,P07332
FGFR1,P11362
FGFR2,P21802
FGFR3,P22607
FGFR4,P22455
FGR,P09769
FLT1,P17948
FLT3,P36888
FLT4,P35916
CSF1R,P07333
MTOR,P42345
FRK,P42685
STK36,Q9NRP7
FYN,P06241
GAK,O14976
GCK,Q12851
GCN2,Q9P2K8
GRK4,P32298
GRK5,P34947
GRK6,P43250
GRK7,Q8WTQ7
GSK3A,P49840
GSK3B,P49841
HASPIN,Q8TF76
HCK,P08631
HGK,O95819
TNNI3K,Q59H18
HIPK1,Q86Z02
HIPK2,Q9H2X6
HIPK3,Q9H422
HIPK4,Q8NE63
HPK1,Q92918
HRI,Q9BQI3
GUCY2C,P25092
HUNK,P57058
ICK,Q9UPZ9
IGF1R,P08069
IKKA,O15111
IKKB,O14920
IKKE,Q14164
ILK,Q13418
INSR,P06213
IRAK1,P51617
IRAK2,O43187
IRAK3,Q9Y616
IRAK4,Q9NWZ3
IRE1,O75460
IRE2,Q76MJ5
INSRR,P14616
ITK,Q08881
JAK1,P23458
JAK2,O60674
JAK3,P52333
JNK1,P45983
JNK2,P45984
JNK3,P53779
KDR,P35968
KHS1,Q9Y4K4
KHS2,Q8IVH8
KIS,Q8TAS1
KIT,P10721
KSR1,Q8IVT5
KSR2,Q6VAB6
LATS1,O95835
LATS2,Q9NRM7
LCK,P06239
LIMK1,P53667
LIMK2,P53671
LKB1,Q15831
AATK,Q6ZMQ8
LMTK2,Q8IWU2
LMTK3,Q96Q04
LOK,O94804
LRRK1,Q38SD2
LRRK2,Q5S007
LTK,P29376
LYN,P07948
MAP3K13,O43283
MAK,P20794
MEK1,Q02750
MEK2,P36507
MAP2K3,P46734
MAP2K4,P45985
MEK5,Q13163
MAP2K6,P52564
MAP2K7,O14733
MEKK1,Q13233
YSK4,Q56UN5
MEKK2,Q9Y2U5
MEKK3,Q99759
MAP3K4,Q9Y6R4
ASK1,Q99683
MEKK6,O95382
MAP3K15,Q6ZN16
MAPKAPK2,P49137
MAPKAPK3,Q16644
MAPKAPK5,Q8IW41
MARK1,Q9P0L2
MARK2,Q7KZI7
MARK3,P27448
MARK4,Q96L34
MAST1,Q9Y2H9
MAST2,Q6P0Q8
MAST3,O60307
MAST4,O15021
MASTL,Q96GX5
MELK,Q14680
MERTK,Q12866
MET,P08581
MINK,Q8N4C8
AMHR2,Q16671
MLK1,P80192
MLK2,Q02779
MLK3,Q16584
MLK4,Q5TCX8
MLKL,Q8NB16
MNK1,Q9BUB5
MNK2,Q9HBH9
MOK,Q9UQ07
MOS,P00540
MPSK1,O75716
MRCKA,Q5VT25
MRCKB,Q9Y5S2
MSK1,O75582
MSK2,O75676
SRPK3,Q9UPE1
MST1,Q13043
MST2,Q13188
MST3,Q9Y6E0
MST4,Q9P289
MUSK,O15146
MYO3A,Q8NEV4
