,uniprot
158,Q9Y261
168,P49760
172,P49815
177,P46527
199,O15111
207,P15559-1
240,P21453
241,Q13188
246,O60343
247,P05106
248,P38398
260,Q96B36
261,P98177
262,Q9UN36
270,O43524
273,Q13043
282,Q9Y3C5
283,P54274
284,P78362
288,P38936
291,P10636-8
292,Q12778
322,O95544-1
353,Q96P20-1
379,Q9Y4H2
380,Q00613-1
382,P49841-1
394,Q6PIY7-1
399,Q9Y2V2
411,Q3V6T2
421,Q92934
422,Q16778
424,Q7Z6J0
431,P49841
433,P19634
449,Q9UKV3
464,P10276
469,Q9Y534
474,Q14315
489,O60285
495,Q99683
500,Q15910
514,Q6NUR9
516,Q9Y2J6
518,O95999
521,P49840
541,P18031
544,Q16584
590,O15519
627,O43521
628,P54253
637,Q8NCD3
659,P04049
689,P67809
694,P03372
718,P15311
803,P78477
828,P24844
889,P19105
891,Q96KS4
899,O14974
902,P14136
904,P53671
911,O43293
916,P60484
932,P35611
933,P53667
950,P07737
957,Q9UPT6
966,Q05397
988,P08670
991,P50552
998,P48436
1007,Q9UJB6
1019,Q9BZL4
1030,Q16555
1031,P26038
1045,Q8N850
1062,Q92673
1070,P18545
1073,P21462
1085,P41143
1092,P07550
1112,Q13509
1141,Q16143
1150,P09619
1154,P32245
1157,P05387
1158,O76070
1165,O14708
1192,P35367
1195,P37840
1236,P51681
1296,P30411
1308,P34947
1314,Q9NZD0
1326,P50502
1328,O75581
1329,P49407
1338,Q15722
1342,P61073
1347,O14745
1366,P49137
1382,Q15835
1383,P08100
1399,P41161-1
1416,P46937
1460,Q9GZV5
1473,Q15208
1491,Q9Y2H1
2419,Q9UH17-1
2420,Q16181-1
2421,Q99497
2488,P17612
2597,Q9UD71
2849,P33076
2888,P29350
3039,Q13085
3259,Q9NS23-2
3554,P42261
3602,Q00613
3980,P98161
3981,O43541
4515,P48730-1
4536,Q9H1D0
4538,P06127
4543,Q9NXH3
4544,P51674
4546,P41180
4561,Q13976
4566,P11831
4575,Q9NRY4
4580,Q13522
4582,Q14432
4588,P17252
4604,Q7KZI7
4610,Q96A00
4614,P05107
4623,O00161
4637,P21731-2
4660,O14939
4667,P06213
4682,P00533
4690,Q15080
4798,P35579
4799,P43119
4804,Q13224
4810,P16070
4837,P10721
4845,P19086
4847,P21730
4881,P25098
4890,P09038
4902,Q13769
4911,P35612
4922,P21399
4930,Q03721
4939,Q00169
4940,Q16760
4954,P14598
4972,Q05209
4989,P49768
4992,P56537
4995,P08567
5017,Q9BQE3
5018,P30086
5023,P19174
5040,P16144
5048,P02786
5050,Q99418
5062,Q01954
5094,Q9Y6K9
5096,P35869
5121,Q15139
5154,Q07869
5180,B6ZGS9
5193,P60983
5207,P10415
5208,P16150
5213,Q15762
5228,Q06124
5234,P29966
5238,P09758
5256,P07355
5278,Q09472
5290,P18206
5293,P78314
5347,P00749
5397,P49802
5489,Q04637
5509,Q13507
5513,P13569
5515,Q9UBS0
5520,P04083
5539,Q9UE50
5548,P11388
5591,P11473
5599,P15336
5601,Q01970
5634,Q06187
5680,P20700
5715,P35637
5795,Q8N6T7-1
5796,Q9UBP9-1
5805,P48050
5810,P15941
5814,Q05655
5818,P40189
5822,Q96D96
5829,Q16615
5830,Q01543
5874,P31946
5880,P17405
5893,P61978
5915,P08581
5917,P35568
5940,P05787
5958,Q9Y2R2
5994,O15350
6021,Q9UQ80
6022,P40763
6114,O14493
6140,P46940
6173,P05783
6188,P19429
6192,P17302
6194,Q86XR7
6195,Q6GMY0
6219,P18507
6234,P48751
6238,Q02156
6800,P29474-1
6823,Q04206
6827,P50549
6830,P16220
6831,Q96QV6
6833,Q6NWP9
6835,Q7L7L0
6839,O75582
6840,Q99878
6850,Q93077
6851,Q71DI3
6854,P84243
6855,Q8IUE6
6861,P05114
6867,Q16695
6872,Q96KK5
6874,P0C0S8
6876,Q6FI13
7109,P18848
7113,P62753
7114,B5B2W9
7115,Q06413
7116,Q8N122
7117,Q14934
7123,Q9Y5K3
7136,P16104
7146,P01100
7148,P51812
7153,Q05195
7174,Q9NYV6
7175,Q9UBP6
7197,P53355
7216,P17676
7221,Q9NYB0
7332,Q96C05
7333,Q15831
7335,Q15653
7338,Q92731
7343,Q16821
7386,Q92597
7429,Q13878
7432,P48764
7435,Q5CZI7
7438,P14672
7447,P48048
7449,P28482
7450,Q13301
7464,Q9H2W4
7469,Q99759
7470,Q969H0
7494,Q9H4U5
7495,Q13045
7496,P13796-1
7497,O15400-1
7498,Q5JSH3-1
7499,Q86YS3-1
7500,Q86Y82
7541,O00418
7580,Q9BX84
7603,P55196-2
7629,P31751
7633,Q05513
7635,O15530
7637,Q16513
7638,Q13153
7639,O00141
7644,P23443
7646,Q9Y243
7647,Q9HBY8
7651,Q16512
7652,P31749
7653,Q96BR1
7656,Q02750
7658,P08559
7661,Q15418
7671,P36507
7678,Q96SU4
7683,Q04917
7694,Q9Y4P3
7821,Q92903
7825,Q14694
7829,Q99728
7833,P54132
7835,Q13535
7836,Q13315
7840,O96017
7841,Q9BQ15
7849,P15927
7855,Q9UGF0
7859,Q92630
7861,O94874-1
7864,Q12888
7866,P08047
7871,O75943
7873,O60934
7882,Q6PCD5
7883,Q9NQS1
7884,Q9H3D4-2
7886,Q9UPF5
7888,Q13541
7895,P04637
7897,Q96RL1
7900,Q96T60
7902,Q96SD1
7906,Q5XUX0
7925,Q99638
7929,Q5JSS0
7934,Q00987
7936,Q9UQR1
7944,P49959
7950,Q9H2K8
7965,Q9BXW9
7966,Q99708
7972,Q14683
7974,Q13263
7981,Q14191
8003,Q8IW19
8013,O14757
8033,P25205
8035,O94916
8042,P00519
8058,P41236
8079,Q9UPV0
8092,O15151
8094,P49917
8100,Q01094
8108,Q92878
8117,Q8IUQ4
8154,Q96SB4-2
8189,O15360
8191,P49736
8220,Q8WXE1
8234,Q9UQ84
8286,Q9UME3
8292,P07900
8293,P78527
8331,P13010
8365,P12956
8404,Q13426
8407,P18887
8417,P04150
8422,P05412
8442,Q9Y6K9-1
8496,Q9H063
8530,P51397
8552,Q92606
8563,P42345
8726,Q70T02
8728,P52655
8848,P50750
8862,Q9UQL6
8868,P56524
8871,Q16566
8893,Q92793
8896,Q9Y6J0
9503,P29475
9515,Q13554
9517,P26678
