,Substrate
2,O00213
7,O14920
10,O15111
12,O43524
29,P10636
31,P14672
34,P15056
38,P16220
41,P25963
44,P28482
47,P42858
50,P43003
53,P45985
56,P46527
61,P48048
63,P48764
72,P49840
78,Q00987
81,Q12778
83,Q6R327
86,Q92542
89,Q92597
102,Q969H0
105,Q96J92
112,Q96PU5
122,Q99759
125,Q9H4A3
128,Q9UN36
137,Q9Y2I7
140,Q9Y2V2
143,O95630
149,Q15796
159,Q15797
169,O00311
184,O75475
187,P06748
192,P11388
197,P19338
202,P49736
225,P55081
240,Q9HAW4
259,Q9NS91
262,Q9UBU7
269,O00329
273,P23443
277,O00418
294,P13639
312,O00444
321,O43303
324,P61160
329,Q15154
333,Q15468
345,Q969U6
350,Q9HC77
357,O00506
359,P63104
362,Q9BSQ5
365,Q9BUL8
372,P24844
377,Q9BYX4
380,O15264
382,P45983
389,P45984
401,P53779
405,Q13158
408,O00716
411,O14757
420,O15151
427,O15294
430,O15350
433,O43395
436,O43660
439,O60343
444,O75151
447,O75461
452,O75592
455,O95625
460,O95707
463,O95785
466,P02545
469,P04637
485,P06400
488,P06493
491,P07814
494,P08631
497,P11047
501,P12931
506,P12956
509,P15822
512,P16989
515,P18858
518,P19838
521,P22626
524,P25205
527,P26373
530,P27816
533,P30304
549,P30305
554,P30307
558,P33991
560,P33992
563,P35611
566,P35612
569,P36507
572,P39748
575,P43243
582,P43405
585,P46013
588,P49761
591,P49790
596,P49792
599,P51587
601,P52272
604,P52292
607,P52294
613,P54132
621,P55039
624,P67809
627,P67870
631,P68431
633,P84098
639,P84243
641,P85299
644,Q00341
647,Q02750
650,Q04206
653,Q04837
656,Q06609
659,Q08AD1
662,Q12789
665,Q12888
668,Q13043
671,Q13257
676,Q13263
679,Q13439
682,Q13470
685,Q13907
688,Q14004
691,Q14186
694,Q14247
697,Q14669
700,Q14676
703,Q14738
706,Q14966
709,Q15648
712,Q16143
715,Q16181
718,Q16204
723,Q27J81
726,Q32P44
729,Q53F19
732,Q53H47
735,Q5JSZ5
738,Q5JTH9
741,Q5T8P6
744,Q5UIP0
747,Q6PD62
750,Q6T4R5
753,Q6UB98
756,Q7Z2Z1
765,Q86UE8
768,Q86WB0
771,Q86WR7
776,Q8N4C8
779,Q8NG66
782,Q8WWI1
785,Q92974
790,Q96GD4
793,Q96PK6
800,Q96QD9
803,Q96RL1
806,Q96ST3
809,Q96T58
812,Q99590
815,Q99848
818,Q9BQG0
821,Q9BRD0
824,Q9BTD8
827,Q9BW19
830,Q9BXB4
833,Q9BXW9
836,Q9BY77
839,Q9GZR7
842,Q9H0H5
845,Q9H8G2
