,uniprot
0,A0A024R4G9
1,A0A075B6Q4
7,A0A075B6T3
9,A0A075B759
10,A0A087WTJ2
17,A0A087WUL8
18,A0A087WUV0
19,A0A087WV48
20,A0A087WV96
22,A0A087WZ62
26,A0A087X0R7
41,A0A087X1C1
42,A0A088AWK7
43,A0A096LP49
49,A0A096LP55
51,A0A0A0MRY4
65,A0A0A6YYC7
76,A0A0A6YYG9
80,A0A0A6YYH1
83,A0A0A6YYK5
88,A0A0A6YYL0
90,A0A0A6YYL1
92,A0A0A6YYL6
96,A0A0B4J1R7
100,A0A0B4J1V8
107,A0A0B4J203
135,A0A0B4J269
147,A0A0B4J279
148,A0A0B4J293
149,A0A0B4J2A2
150,A0A0B4J2F2
160,A0A0C4DFX4
227,A0A0C4DH35
228,A0A0C4DH73
234,A0A0G2JKD1
238,A0A0G2JLL6
241,A0A0G2JMM0
242,A0A0G2JPF8
247,A0A0G2JS52
250,A0A0J9YVX5
256,A0A0J9YX44
257,A0A0J9YX86
272,A0A0M3HER8
274,A0A0U1RQJ8
281,A0A0U1RQV1
282,A0A0U1RQV5
286,A0A0U1RRE5
287,A0A0U1RRK4
288,A0A140T8X8
292,A0A1B0GTI1
297,A0A1B0GU03
301,A0A1B0GUH1
302,A0A1B0GVI7
305,A0A1B0GVZ6
306,A0A1B0GWB2
307,A0A1C7CYW4
308,A0A1W2PNV4
316,A0A1W2PP11
317,A0A1W2PPC1
335,A0A1W2PQ72
336,A0A1W2PQS6
338,A0A1W2PR48
339,A0A1W2PRB8
340,A0A1W2PRX2
344,A0A5F9ZHR4
346,A0AUZ9
347,A0AV02
349,A0AV96
355,A0AVK6
374,A0AVT1
389,A0FGR8
411,A0FGR9
412,A0JLT2
420,A0JNW5
452,A0MZ66
482,A0PJW8
483,A0PJX4
484,A0PK00
485,A1A4G5
486,A1A4S6
502,A1A5D9
513,A1IGU5
517,A1KXE4
525,A1L020
531,A1L0T0
532,A1L162
533,A1L170
556,A1L390
609,A1L429
610,A1L4H1
611,A1L4K1
616,A1X283
635,A1XBS5
639,A1YPR0
640,A2A288
643,A2A2V5
644,A2A2Y4
649,A2A3K4
658,A2A3N6
665,A2AJT9
676,A2RRD8
677,A2RRH5
678,A2RRP1
687,A2RTX5
689,A2RU30
700,A2RU54
702,A2RU67
712,A2RUB1
714,A2RUB6
718,A2RUS2
724,A2VDJ0
729,A3KMH1
730,A3KN83
758,A4D161
761,A4D1E1
762,A4D1P6
769,A4D1S0
779,A4D2B0
784,A4D2H0
787,A4D2P6
788,A4FU01
791,A4FU28
793,A4FU49
801,A4QPH2
803,A4UGR9
838,A5A3E0
848,A5D6W6
849,A5PKW4
855,A5PL33
865,A5PLL1
873,A5PLN7
874,A5YKK6
886,A5YM69
900,A6H8M9
901,A6H8Y1
940,A6NC98
960,A6NCI8
966,A6NCL7
971,A6NCQ9
972,A6NCS6
976,A6ND36
994,A6NDB9
1015,A6NDE4
1019,A6NDE8
1020,A6NDG6
1021,A6NDU8
1023,A6NE02
1025,A6NE82
1026,A6NEC2
1028,A6NED2
1029,A6NEF3
1031,A6NEL2
1048,A6NEM1
1050,A6NEQ0
1057,A6NES4
1059,A6NF01
1078,A6NFI3
1090,A6NFX1
1092,A6NGB9
1097,A6NGC4
1098,A6NGS2
1099,A6NHG4
1100,A6NHL2
1103,A6NHQ4
1109,A6NHR9
1117,A6NHS7
1118,A6NHT5
1127,A6NI28
1139,A6NI72
1144,A6NI79
1145,A6NI86
1147,A6NIH7
1149,A6NIX2
1154,A6NJ46
1155,A6NJ78
1157,A6NJG2
1159,A6NJL1
1162,A6NJT0
1165,A6NJU9
1167,A6NJZ7
1172,A6NKD9
1193,A6NKF1
1197,A6NKG5
1200,A6NKN8
1203,A6NKT7
1275,A6NKU9
1276,A6NLC5
1278,A6NM28
1282,A6NMD2
1288,A6NMK8
1292,A6NMY6
1324,A6NMZ7
1330,A6NNA2
1337,A6NNC1
1338,A6NNM3
1343,A6NNZ2
1347,A6QL63
1349,A6QL64
1352,A7E2V4
1384,A7KAX9
1445,A7MBM2
1452,A7MCY6
1467,A7MD48
1470,A7XYQ1
1476,A8CG34
1544,A8K0R7
1550,A8K0Z3
1555,A8K4G0
1556,A8K5M9
1558,A8K855
1562,A8K979
1564,A8KAH6
1565,A8MPP1
1570,A8MQ03
1576,A8MQ27
1577,A8MRT5
1579,A8MSY1
1585,A8MT19
1594,A8MTJ3
1597,A8MTJ6
1598,A8MTQ0
1599,A8MU93
1601,A8MUH7
1602,A8MUU9
1603,A8MV72
1605,A8MVS5
1618,A8MVU1
1623,A8MVW0
1640,A8MVX0
1641,A8MW92
1659,A8MWX3
1664,A8MXV4
1666,A8MYA2
1676,A8MYZ6
