,KIN_ACC_ID
0,Q92630
46,Q13177
87,Q9BQI3
89,Q05655
223,Q9P1W9
238,Q9UQM7
383,P68400
958,O14965
1093,O14920
1175,O94804
1179,P35269
1183,O95835
1209,Q08881
1221,P09619
1253,Q99986
1270,P50613
1323,P22455
1326,Q13546
1332,P45983
1493,Q9NR20
1494,P00533
1591,Q15208
1601,Q9UGJ0
1610,P06241
1758,Q13131
1927,Q9NYV4
1934,Q16566
1945,P49841
2314,P54646
2359,Q9Y2H1
2365,Q9Y5S2
2368,P49674
2419,P78527
2559,P49137
2635,Q14012
2652,P23443
2708,A9UF07
2723,P07947
2747,P31749
3111,P05771-2
3163,P12931
3732,P29323
3736,P48736
3741,Q9UHD2
3822,Q9H422
3823,Q02763
3825,P51812
3879,O94806
3885,P07333
3889,P49336
3904,P43405
3969,Q9UEW8
3982,P57058
3983,P07948
4079,Q8NEV4
4084,P41743
4131,P51617
4145,O76039
4171,P22694
4177,Q15759
4212,Q15303
4215,Q9UK32
4217,Q6J9G0
4219,Q86UE8
4221,P31152
4222,Q9BXM7
4241,P54756
4242,P24941
4667,P07949
4699,P35968
4706,P04049
4719,O75676
4724,P15531
4728,Q32MK0
4730,P21127
4732,P29597
4742,P28482
5195,P43250
5205,Q13233
5212,P27448-3
5216,P78368
5222,P31751
5297,Q04759
5342,P09769
5354,Q9HCP0
5361,Q15831
5403,Q13163
5405,P06213
5450,P54762
5451,Q15418
5528,P29376
5529,Q8N4C8
5534,O14757
5731,P17612
6344,P35626
6360,Q13164
6385,Q9P0L2
6398,P27361
6789,O43293
6810,Q9Y572
6818,Q92918
6824,Q9UQB9
6833,Q8N5S9
6840,Q86V86
6847,Q02750
6867,O60674
6908,Q9NSY1
6910,Q96L96
6912,P07332
6916,Q9UQ88
6919,P67870
6932,P48730
7023,Q99759
7031,Q9BUB5-2
7032,P11021
7033,Q13554
7042,Q16654
7047,O00444
7070,Q96L34
7071,O14578
7074,P36888
7087,P05771
7154,Q8TDC3
7158,O14733
7167,P42685
7172,O00329
7173,O75716
7177,Q13153
7258,Q9H2G2
7263,Q00536
7267,Q9Y2U5
7270,O00141
7324,P04626
7341,Q5VT25
7346,O95747
7364,P17948
7370,Q9H4B4
7400,Q13535
7517,Q9UPZ9
7520,P42684
7542,P34947
7563,P42338
7564,Q00526
7580,Q9Y3S1
7583,Q16620
7594,Q13418
7601,Q15569
7602,P05129
7637,P43403
7671,P11274
7674,P49840
7748,Q99640
7750,Q8TDX7
7757,Q13188
7791,P36507
7794,Q38SD2
7814,O14976
7817,O43781
7820,P42681
7822,O00238
7828,Q02156
7897,Q14289
7913,Q9UBS0
7922,Q8TAS1
7929,Q9P289
7942,Q13882
7959,O15264
7980,O75385
8052,P78362
8056,P45984-2
8058,P42680
8067,P49842
8068,O00443
8070,Q08345
8072,Q9UKI8
8083,P06493
8767,Q13976-2
8775,Q07912
8787,P11309
8857,Q8IVT5
8858,Q9BYT3
8859,O96013
8881,Q7KZI7
8910,Q9H1R3
8911,Q86Z02
8914,Q8IW41
8926,P00519
9148,P48729
9294,O96017
9368,Q01973
9369,Q13557
9386,P04629
9407,P17252
9886,O00506
9891,Q00534
9942,Q9BYP7
9946,O43353
9952,Q9UF33
9953,P08069
9982,Q02779
9989,Q09013
9990,P37173
10006,Q9H2X6
10066,P49759
10080,Q16512
10092,Q8IWQ3
10098,P16591
10118,O75582
10139,Q15131
10141,O14730
10142,Q12852
10144,Q9H4A3
10153,Q96Q15
10159,O95382
10164,P53355
10187,Q15139
10266,O43318
10304,P10721
10318,P19525
10340,Q96QT4
10395,Q96RR4
10401,P29317
10413,Q05397
10440,P08581
10468,Q9H0K1
10480,Q13557-8
10481,Q8WTQ7
10482,Q15349
10486,P46020
10487,Q6PHR2
10492,Q9HBY8
10496,Q16513
10499,P49760
10510,Q5S007
10595,Q9Y243
10612,Q9UIG0
10613,P42336
10618,P23458
10630,P21675
10634,Q96GX5
10636,P42345
10764,O00311
10813,Q13470
10814,Q6SA08
10815,Q13464
10883,P45983-2
10884,Q16644
10887,P51813
10906,Q9NYY3
10921,P10398
10927,Q9Y463
10940,O75116
10960,Q9HBH9
10966,P06239
11063,P21709
11064,Q04912
11071,Q9Y6E0
11081,Q15300
11083,Q9Y478
11092,Q13237
11107,P50750
11161,Q14164
11202,Q06187
11223,P53778
11254,Q9NZJ5
11258,P45985
11274,Q9Y4B6
11275,Q9HAZ1
