,SUB_ACC_ID
0,O43255
1,Q9Y2V2
2,O43602-2
3,P30304
5,O75449
6,P04637
9,Q92630-2
15,P43686
18,Q14194
19,Q13541
20,O95863
22,P84243
24,Q00613
25,P46531
32,Q14195
33,Q16555
34,P10636-8
42,Q9UHD2
46,P01106
47,Q53QZ3
48,P62805
49,P05412
50,Q05682
53,Q8TDZ2
54,Q99523
55,P55210
56,P00519
57,Q13177
59,Q15796
60,P35240
62,Q04637
69,P49023
73,Q16659
77,P35222
80,Q70Z35
81,P04049
83,Q8IYU2
84,P05141
87,P05198
89,Q9UQL6
90,P18433-2
91,P10415
92,P61978
93,P19634
94,Q9UQ13
95,P53004
96,P15941
97,P35611
98,P14598
99,Q8TCJ0
100,Q16206
101,Q7KZI7
102,P19429
103,P15407
104,O76090
105,Q9UBS0
106,Q15080
108,Q9H257
109,P05107
110,Q05655
111,Q9HBA0
112,P13796
113,Q13501
114,P05787
115,P04406
117,Q02297-6
119,P51398
120,P42224
123,P62753
126,Q99808
127,P58753
129,Q14247
130,P98082
131,Q9Y2R2
132,Q15139
139,P05230
141,P17405
142,P68431
143,P28329-3
144,P13498
147,P06401
148,Q8TCU6
149,P78536
150,P12830
151,P21730
152,P35568
153,Q9NRY6
154,O95544
156,Q96A00
159,P11413-3
161,Q00535
162,P53671
164,P10588
166,Q96D96-4
169,P40189
172,P23396
174,O14939
175,O95817
176,Q8NE86
179,P29353-2
180,P00533
181,Q15717
183,Q16236
184,O00165
189,P49840
190,P61073
193,Q96C90
194,P49815
195,P30273
196,Q9BZK7
197,P49841
198,P40763
200,O00429
202,Q09472
204,P02545
205,Q01543
206,P08581
209,P09758
211,Q9UQ80
212,Q96D96
213,P04040
214,O15350-2
215,P12931
217,P52757
218,P30086
223,Q8IV61
225,P14618
226,P51692
227,P52789
229,Q16875
230,P38936
231,P00338
234,Q13131
236,Q13200
238,P09467
239,Q16877
240,P24588
241,Q14524
242,P35367
244,P15036
245,P23677
247,Q9Y618
248,Q14654
249,Q96PH1-4
250,Q9UQD0
251,P05556
252,P07101-4
256,O15273
257,O00631
258,Q9UQM7
262,P14921
264,P35270
266,P43003
267,O95997
270,P46527
271,P11831
272,Q9NQC7
274,Q92736
277,P08670
278,O14713
281,P31645
282,P07101
284,O75469
285,P21333
286,Q14457
288,O43526-4
292,Q06210
296,O14490-2
300,P09917
302,P41134
306,P51790
312,Q9UQM7-2
316,Q9NSA2
317,Q4G163
319,P55042
321,Q96PM5
322,P16949
328,Q12879
331,P35372
333,Q9Y496
