,IDB
0,P05455
2,P43354
3,P56945
4,P41182
7,Q02078
8,Q9UQL6
9,P51398
11,P07814
12,O75581
13,P40763
14,P28482
15,O00401
16,P78347
17,P54646
18,Q01094
19,P00441
20,Q9H6Z4
21,P43364
23,P16949
24,Q12778
27,P09619
28,Q13480
29,P22736
30,P56817
31,P05198
32,Q14847
33,Q5JQC9
34,P19447
35,O43524
36,P20393
38,P35222
40,Q16539
41,Q9HAV4
42,P51617
43,Q15788
46,P30260
47,P37173
48,Q9H0H5
49,P51168
51,O43561
52,Q6P1M3
53,Q9BZL6
54,Q9H2G2
55,Q05397
56,Q15637
57,Q96PX8
59,O15519
62,Q14676
63,P19429
64,P84022
65,Q13813
66,P27816
67,P35670
68,P29474
69,Q8IWV1
71,Q9UJU2
72,O15151
73,P04792
75,P51681
77,P41236
78,Q9HBA0
79,Q9UBS0
83,P38936
84,P46527
85,O95997
87,P00519
88,O43521
89,P41180
93,P10644
94,Q07617
95,P12931
99,Q9H3D4
100,Q92974
101,P29350
102,Q9GZV5
106,P17948
107,Q9H257
108,Q53EZ4
109,P30411
111,Q9BUB5
112,P36507
113,P24928
114,P21673
115,Q13541
116,O00311
117,Q92934
119,O75461
120,Q13972
121,Q16820
122,P42681
124,Q13835
126,Q8N264
127,Q15831
131,P31947
133,P08913
134,P04637
135,Q9Y5X2
138,Q9UJY1
139,P12270
140,P04049
142,O75955
144,P24864
145,P61764
147,P51812
149,Q96RD7
151,Q9H1K0
152,P08559
153,P10636
154,P04083
155,P43403
157,P30307
160,P41212
162,Q96RR4
163,P23396
164,P18669
165,P54753
167,P29597
168,Q06481
170,P02730
171,P54253
174,P52735
175,P35568
176,Q16625
178,P08100
181,P15336
184,P30291
185,Q8NFA2
188,Q02447
190,Q96EB6
191,Q13094
192,Q8NE71
193,Q12968
194,Q16658
195,P16220
197,Q96S44
199,P24844
203,Q13200
206,Q15058
207,P02686
208,O60674
212,Q04759
214,Q13188
216,Q99962
217,P35228
219,Q15027
220,O14974
221,P23443
222,P06493
223,O14828
224,P52209
225,P51955
227,P15056
228,P33316-2
229,O75150
230,P42224
231,Q9NQC7
232,P12318
235,Q15746
237,P29966
238,P07949
239,Q9Y6K1
240,Q8NHW3
241,O60343
242,O75144
243,O15266
244,P19419
245,Q9NSC5
248,Q14683
250,Q16620
257,P41970
259,P84243
260,Q14524
263,O15084
266,Q9Y2V2
267,Q9UNN5
268,P52655
270,Q92915
272,P53602
273,Q08050
274,Q96B36
275,Q13393
280,P29401
281,P29353
282,P52333
285,Q01105-2
286,Q96KB5
287,P29375
288,O94916
289,P06400
292,P06733
293,P05107
297,P04626
299,P46108
300,Q7L2Z9
301,Q02790
302,O14958
305,P01106
308,O60825
311,Q15139
312,Q9Y6Q9
313,P11836
314,Q9BXL7
315,Q14674
316,Q96NW7
317,O14492
318,P19793
319,P08069
321,P52948
326,P49841
328,P51674
329,O00213
330,O60716
331,P13807
332,Q9UGP8
333,Q08945
335,Q13177
337,Q15633
339,Q9UBS5
340,Q8IZQ8
342,P29590
343,Q8N4X5
345,Q96BR1
349,Q99759
351,Q15078
353,O14874
354,P49459
355,O43353
357,Q08379
358,Q13507
359,P03372
364,Q14653
366,P14784
368,Q13586
370,Q01082
372,P04198
373,Q9Y613
379,Q15080
381,Q13882
382,Q6UUV9
383,Q9BXW9
386,Q86UR1
390,P61289
391,P32119
392,O14920
393,O75444
396,P05067
401,Q8NHV4
402,Q15672
403,Q13936
404,Q9H5V8
405,P23025
406,Q13153
408,Q96PH1
412,Q12879
413,P15923
414,Q9NPH5
416,Q92945
417,P63096
418,O15273
420,P49736
422,P55211
423,P06213
424,Q13163
425,P49790
430,Q05655
434,P23508
435,P48167
439,P22001
440,Q13043
441,P08575
443,Q96GX5
444,P36888
445,P0DP23
452,P07947
453,P08727
458,Q8IX03
459,P38398
460,P36544
461,Q14940
463,O00170
464,Q9Y6N7
465,P46531
466,P18846
467,P06401
468,Q15797
472,Q9UEW8
475,Q07889
476,O43586
477,P56645
484,P15498
492,P45984
493,Q9BR76
495,P35240
496,O43426
497,Q5FBB7
498,Q13542
499,P15531
500,Q13131
501,P18887
502,P22681
503,P27361
504,Q9UPN3
505,Q9HBH9
507,Q96FF9
508,Q8TDD2
509,P11217
510,P16885
514,Q8N122
515,Q14247
518,Q9HAT8
521,P19484
522,P37198
524,O15355
525,Q16595
528,O15554
529,P12694
530,O60239
531,Q8TEW0
535,P49023
537,Q9Y4K3
538,O15530
543,Q01196
544,Q99708
547,Q9BR01
