,0
0,ABL1
1,ABL2
2,ACK
3,ACTR2B
4,ACTR2
5,AKT1
6,AKT2
7,AKT3
8,ALK1
9,ALK2
10,ALK4
11,ALK
12,AMPKa1
13,AMPKa2
14,AXL
15,AurA
16,AurB
17,AurC
18,BARK1
19,BARK2
20,BLK
21,BMPR1A
22,BMPR1B
23,BMPR2
24,BMX
25,BRAF
26,BRK
27,BRSK1
28,BRSK2
29,BTK
30,BUB1
31,BUBR1
32,CAMKK1
33,CAMKK2
34,CDC2
35,CDC7
36,CDK11
37,CDK2
38,CDK2
39,CDK3
40,CDK4
41,CDK4
42,CDK5
43,CDK6
44,CDK6
45,CDK7
46,CDK8
47,CDK9
48,CDK9
49,CGK2
50,CHK1
51,CHK2
52,CK1a
53,CK1d
54,CK1e
55,CK1g1
56,CK1g2
57,CK1g3
58,CK2a1
59,CK2a2
60,CLK1
61,CLK2
62,CLK3
63,CLK4
64,COT
65,CRIK
66,CRK7
67,CSK
68,CTK
69,CaMK1a
70,CaMK1b
71,CaMK1d
72,CaMK2a
73,CaMK2b
74,CaMK2d
75,CaMK2g
76,CaMK4
77,DAPK1
78,DAPK2
79,DAPK3
80,DCLK1
81,DCLK2
82,DDR1
83,DDR2
84,DLK
85,DMPK1
86,DRAK2
87,DYRK1A
88,DYRK1B
89,DYRK2
90,DYRK3
91,DYRK4
92,EEF2K
93,EGFR
94,EPHA1
95,EPHA2
96,EPHA3
97,EPHA4
98,EPHA5
99,EPHA6
100,EPHA8
101,EPHB1
102,EPHB2
103,EPHB3
104,EPHB4
105,EphA7
106,ErbB2
107,ErbB4
108,Erk1
109,Erk2
110,Erk5
111,Erk7
112,FAK
113,FER
114,FES
115,FGFR1
116,FGFR2
117,FGFR3
118,FGFR4
119,FGR
120,FLT1
121,FLT3
122,FLT4
123,FMS
124,FRAP
125,FRK
126,FYN
127,GAK
128,GCK
129,GCN2
130,GPRK5
131,GPRK7
132,GSK3a
133,GSK3b
134,HCK
135,HGK
136,HIPK1
137,HIPK2
138,HIPK3
139,HIPK4
140,HRI
141,Haspin
142,ICK
143,IGF1R
144,IKKa
145,IKKb
146,IKKe
147,INSR
148,IRAK1
149,IRAK4
150,IRR
151,ITK
152,JAK1
153,JAK2
154,JAK3
155,JNK1
156,JNK2
157,JNK3
158,KDR
159,KHS1
160,KIT
161,LATS1
162,LATS2
163,LCK
164,LIMK1
165,LIMK2
166,LKB1
167,LOK
168,LRRK2
169,LTK
170,LYNa
171,LYNb
172,LZK
173,MAP2K1
174,MAP2K2
175,MAP2K3
176,MAP2K4
177,MAP2K5
178,MAP2K6
179,MAP2K7
180,MAP3K1
181,MAP3K2
182,MAP3K3
183,MAP3K4
184,MAP3K5
185,MAPKAPK2
186,MAPKAPK3
187,MAPKAPK5
188,MARK1
189,MARK2
190,MARK3
191,MARK4
192,MAST2
193,MELK
194,MER
195,MET
196,MINK
197,MLK1
198,MLK2
199,MLK3
200,MNK1
201,MNK2
202,MOK
203,MOS
204,MPSK1
205,MRCKa
206,MRCKb
207,MSK1
208,MSK2
209,MSSK1
210,MST1
211,MST2
212,MST3
213,MST4
214,MUSK
215,MYT1
216,NDR1
217,NDR2
218,NEK11
219,NEK1
220,NEK2
221,NEK4
222,NEK6
223,NEK7
224,NEK9
225,NIK
226,NIM1
227,NLK
228,NuaK1
229,NuaK2
230,OSR1
231,PAK1
232,PAK2
233,PAK3
234,PAK4
235,PAK5
236,PAK6
237,PASK
238,PBK
239,PCTAIRE1
240,PDGFRa
241,PDGFRb
242,PDHK1
243,PDHK2
244,PDHK3
245,PDHK4
246,PEK
247,PFTAIRE1
248,PHKG1
249,PHKG2
250,PIM1
251,PIM2
252,PIM3
253,PKACa
254,PKACb
255,PKACg
256,PKCa
257,PKCb1
258,PKCb2
259,PKCd
260,PKCe
261,PKCg
262,PKCh
263,PKCi
264,PKCt
265,PKCz
266,PKD1
267,PKD2
268,PKD3
269,PKG1a
270,PKG1b
271,PKN1
272,PKN2
273,PKN3
274,PKR
275,PLK1
276,PLK2
277,PLK3
278,PLK4
279,PRKX
280,PRPK
281,PYK2
282,QIK
283,RAF1
284,RET
285,RHOK
286,RIPK2
287,ROCK1
288,ROCK2
289,RON
290,ROR1
291,ROR2
292,ROS
293,RSK1
294,RSK2
295,RSK3
296,RSK4
297,SGK1
298,SGK2
299,SGK3
300,SGK496
301,SIK
302,SLK
303,SRC
304,SRM
305,SRPK1
306,SRPK2
307,STK33
308,STLK3
309,SYK
310,TAK1
311,TAO1
312,TAO2
313,TBK1
314,TEC
315,TESK1
316,TESK2
317,TGFbR1
318,TIE2
319,TLK1
320,TLK2
321,TNIK
322,TNK1
323,TNNI3K
324,TRKA
325,TRKB
326,TRKC
327,TSSK1
328,TSSK2
329,TTBK1
330,TTK
331,TXK
332,TYK2
333,TYRO3
334,ULK3
335,VRK1
336,VRK2
337,WEE1
338,WNK1
339,WNK2
340,WNK3
341,WNK4
342,YES
343,YSK1
344,ZAK
345,ZAP70
346,p38a
347,p38b
348,p38d
349,p38g
350,p70S6Kb
351,p70S6K
352,skMLCK
