,0
0,1433B_HUMAN
1,1433E_HUMAN
2,1433F_HUMAN
3,1433G_HUMAN
4,1433S_HUMAN
5,1433T_HUMAN
6,1433Z_HUMAN
7,1A25_HUMAN
8,1A26_HUMAN
9,1A33_HUMAN
10,1A34_HUMAN
11,1A66_HUMAN
12,1A68_HUMAN
13,1A69_HUMAN
14,1B07_HUMAN
15,1B08_HUMAN
16,1B13_HUMAN
17,1B14_HUMAN
18,1B15_HUMAN
19,1B18_HUMAN
20,1B27_HUMAN
21,1B35_HUMAN
22,1B37_HUMAN
23,1B38_HUMAN
24,1B39_HUMAN
25,1B40_HUMAN
26,1B41_HUMAN
27,1B42_HUMAN
28,1B44_HUMAN
29,1B45_HUMAN
30,1B46_HUMAN
31,1B47_HUMAN
32,1B48_HUMAN
33,1B49_HUMAN
34,1B50_HUMAN
35,1B51_HUMAN
36,1B52_HUMAN
37,1B53_HUMAN
38,1B55_HUMAN
39,1B56_HUMAN
40,1B59_HUMAN
41,1B67_HUMAN
42,1B73_HUMAN
43,1B78_HUMAN
44,1B81_HUMAN
45,1B82_HUMAN
46,2ABA_HUMAN
47,2ABB_HUMAN
48,2ABD_HUMAN
49,41_HUMAN
50,6PGD_HUMAN
51,AAPK1_HUMAN
52,AAPK2_HUMAN
53,AATM_HUMAN
54,ABCE1_HUMAN
55,ABCF1_HUMAN
56,ABL1_HUMAN
57,ABL2_HUMAN
58,ACADM_HUMAN
59,ACBP_HUMAN
60,ACINU_HUMAN
61,ACLY_HUMAN
62,ACON_HUMAN
63,ACPH_HUMAN
64,ACSL1_HUMAN
65,ACSL3_HUMAN
66,ACSL4_HUMAN
67,ACTA_HUMAN
68,ACTBL_HUMAN
69,ACTBM_HUMAN
70,ACTB_HUMAN
71,ACTC_HUMAN
72,ACTG_HUMAN
73,ACTH_HUMAN
74,ACTN1_HUMAN
75,ACTN2_HUMAN
76,ACTN3_HUMAN
77,ACTN4_HUMAN
78,ACTS_HUMAN
79,ACTY_HUMAN
80,ACTZ_HUMAN
81,ADAS_HUMAN
82,AHSA1_HUMAN
83,AIMP2_HUMAN
84,AIP_HUMAN
85,AKAP8_HUMAN
86,AKAP9_HUMAN
87,AL7A1_HUMAN
88,ALDOA_HUMAN
89,ALDOC_HUMAN
90,ALDR_HUMAN
91,AMPM2_HUMAN
92,ANM1_HUMAN
93,ANX11_HUMAN
94,ANXA2_HUMAN
95,ANXA5_HUMAN
96,AP1B1_HUMAN
97,AP1M1_HUMAN
98,AP2B1_HUMAN
99,APEX1_HUMAN
100,API5_HUMAN
101,ARAF_HUMAN
102,ARFG1_HUMAN
103,ARHGA_HUMAN
104,ARHGG_HUMAN
105,ARNT_HUMAN
106,ARP3_HUMAN
107,ASSY_HUMAN
108,ATG2B_HUMAN
109,ATG3_HUMAN
110,ATN1_HUMAN
111,ATPB_HUMAN
112,ATPG_HUMAN
113,ATX2L_HUMAN
114,ATX2_HUMAN
115,AXA2L_HUMAN
116,BA2L2_HUMAN
117,BACH_HUMAN
118,BAG3_HUMAN
119,BAIP2_HUMAN
120,BAT2_HUMAN
121,BL1S3_HUMAN
122,BLVRB_HUMAN
123,BMS1_HUMAN
124,BOD1L_HUMAN
125,BOD1_HUMAN
126,BRD7_HUMAN
127,BZW1L_HUMAN
128,BZW1_HUMAN
129,CA123_HUMAN
130,CALM_HUMAN
131,CALR_HUMAN
132,CALU_HUMAN
133,CALX_HUMAN
134,CAN1_HUMAN
135,CAPZB_HUMAN
136,CATB_HUMAN
137,CATC_HUMAN
138,CATL1_HUMAN
139,CATZ_HUMAN
140,CAZA1_HUMAN
141,CCD58_HUMAN
142,CCNB1_HUMAN
143,CD59_HUMAN
144,CD97_HUMAN
145,CDK1_HUMAN
146,CDK2_HUMAN
147,CDK3_HUMAN
148,CDK6_HUMAN
149,CDV3_HUMAN
150,CE170_HUMAN
151,CEBPB_HUMAN
152,CF125_HUMAN
153,CGL_HUMAN
154,CH10_HUMAN
155,CH60_HUMAN
156,CHERP_HUMAN
157,CI078_HUMAN
158,CIP4_HUMAN
159,CISY_HUMAN
160,CK059_HUMAN
161,CKS1_HUMAN
162,CL029_HUMAN
163,CLH1_HUMAN
164,CLH2_HUMAN
165,CLIC1_HUMAN
166,CLIC4_HUMAN
167,CLIP1_HUMAN
168,CLPP_HUMAN
169,CNBP_HUMAN
170,CND3_HUMAN
171,CNN3_HUMAN
172,CNOT1_HUMAN
173,CNPY2_HUMAN
174,COF1_HUMAN
175,COF2_HUMAN
176,COPA_HUMAN
177,COPE_HUMAN
178,COX41_HUMAN
179,CP080_HUMAN
180,CP51A_HUMAN
181,CPSF3_HUMAN
182,CPSF6_HUMAN
183,CPSF7_HUMAN
184,CPSM_HUMAN
