kinase,corr_with_raw,count_combined,corr_with_norm,specificity,change_corr,S_ratio,T_ratio,ID_coral,uniprot,ID_HGNC,group,family,subfamily_coral,subfamily,change_corr_norm-raw
PKACA,0.841688567,1740,0.833834686,0.47695301,-0.007853881,0.056638501,0.03342432,PKACa,P17612,PRKACA,AGC,PKA,,PKA,-0.007853881
ERK2,0.751986694,1380,0.827212991,0.510499263,0.075226297,0.051645871,0.051311249,Erk2,P28482,MAPK1,CMGC,MAPK,ERK1,ERK1,0.075226297
CDK1,0.864848073,1325,0.879297383,0.569784104,0.014449311,0.063222291,0.048284943,CDC2,P06493,CDK1,CMGC,CDK,CDC2,CDC2,0.014449311
IKKB,0.149388317,1297,0.280318358,0.157279386,0.130930041,0.081215829,0.040975713,IKKb,O14920,IKBKB,Other,IKK,,IKK,0.130930041
ERK1,0.830826562,1160,0.878767493,0.567533033,0.047940931,0.06372236,0.053194251,Erk1,P27361,MAPK3,CMGC,MAPK,ERK1,ERK1,0.047940931
PKCA,0.679342259,1128,0.718026681,0.224369068,0.038684422,0.066206471,0.043517263,PKCa,P17252,PRKCA,AGC,PKC,PKCa,PKCa,0.038684422
CDK2,0.516667749,1114,0.754606634,0.363988614,0.237938885,0.067961767,0.054575816,CDK2,P24941,CDK2,CMGC,CDK,CDK2,CDK2,0.237938885
JNK1,0.653630033,1025,0.718402541,0.61843026,0.064772508,0.057360483,0.049686023,JNK1,P45983,MAPK8,CMGC,MAPK,JNK,JNK,0.064772508
P38A,0.659486248,1018,0.803408608,0.423331696,0.14392236,0.070907191,0.067758023,p38a,Q16539,MAPK14,CMGC,MAPK,p38,p38,0.14392236
MLK1,0.063050404,1008,0.20382413,0.155158202,0.140773726,0.066664837,0.055303675,MLK1,P80192,MAP3K9,TKL,MLK,MLK,MLK,0.140773726
NEK6,0.209317004,950,0.352620404,0.124998022,0.143303401,0.06506722,0.042386844,NEK6,Q9HC98,NEK6,Other,NEK,,NEK,0.143303401
PLK1,0.431788402,943,0.427529867,0.186638861,-0.004258535,0.048407407,0.039489777,PLK1,P53350,PLK1,Other,PLK,,PLK,-0.004258535
CK2A1,0.610636621,919,0.605272985,0.369003828,-0.005363636,0.048369707,0.036035027,CK2a1,P68400,CSNK2A1,CMGC,CK2,,CK2,-0.005363636
P38D,0.715550776,907,0.83694005,0.623574372,0.121389274,0.08253467,0.072414855,p38d,O15264,MAPK13,CMGC,MAPK,p38,p38,0.121389274
DYRK2,0.674348408,907,0.745338537,0.451088675,0.070990129,0.07543854,0.059151744,DYRK2,Q92630,DYRK2,CMGC,DYRK,DYRK2,DYRK2,0.070990129
