kinase,substrate,target,position,aa
AAK1,-5P,0.2036813172319591,-5,P
ACVR2A,-5P,-0.4979060268428966,-5,P
ACVR2B,-5P,-0.2745298232640419,-5,P
AKT1,-5P,-0.1386241505518594,-5,P
AKT2,-5P,-0.0522690570511042,-5,P
AKT3,-5P,0.0460989356829727,-5,P
ALK2,-5P,-0.2578934012434825,-5,P
ALK4,-5P,-0.0070653778081163,-5,P
ALPHAK3,-5P,-0.071429054372952,-5,P
AMPKA1,-5P,-0.2651214866308992,-5,P
AMPKA2,-5P,-0.2230201786272606,-5,P
ANKRD3,-5P,-0.0129168378412606,-5,P
ASK1,-5P,0.6777681245409194,-5,P
ATM,-5P,-0.1493656069245939,-5,P
ATR,-5P,0.0001903753704595,-5,P
AURA,-5P,-0.3142361777899897,-5,P
AURB,-5P,-0.0150943260124333,-5,P
AURC,-5P,0.1394222591837257,-5,P
BCKDK,-5P,-0.3433710396435357,-5,P
BIKE,-5P,0.1338498227535675,-5,P
BMPR1A,-5P,-0.4858065617291501,-5,P
BMPR1B,-5P,-0.0556730829188683,-5,P
BMPR2,-5P,-0.2340162656989018,-5,P
BRAF,-5P,0.7170534638467737,-5,P
BRSK1,-5P,-0.2229305867907362,-5,P
BRSK2,-5P,-0.2194971540208435,-5,P
BUB1,-5P,0.6934760022982707,-5,P
CAMK1A,-5P,0.7346575690934757,-5,P
CAMK1B,-5P,-0.0736043512714175,-5,P
CAMK1D,-5P,0.100034152015014,-5,P
CAMK1G,-5P,-0.0557093687443173,-5,P
CAMK2A,-5P,0.1095436994763957,-5,P
CAMK2B,-5P,-0.2784024519536687,-5,P
CAMK2D,-5P,0.0543959459246024,-5,P
CAMK2G,-5P,-0.3839398380937038,-5,P
CAMK4,-5P,-0.3927055110501079,-5,P
CAMKK1,-5P,1.0735835918201426,-5,P
CAMKK2,-5P,1.0972405581205251,-5,P
CAMLCK,-5P,0.3488530946605793,-5,P
CDC7,-5P,-0.4097518872709922,-5,P
CDK1,-5P,0.2321281626991788,-5,P
CDK2,-5P,0.8000203480404761,-5,P
CDK3,-5P,0.4690486379097446,-5,P
CDK4,-5P,0.3831219147863899,-5,P
CDK5,-5P,0.8619665870059459,-5,P
CDK6,-5P,0.440937085257889,-5,P
CDK7,-5P,0.1548266810003654,-5,P
CDK8,-5P,0.0341283410393754,-5,P
CDK9,-5P,0.1401898190806833,-5,P
CDK10,-5P,0.0498701315570792,-5,P
CDK12,-5P,0.3000670791146032,-5,P
CDK13,-5P,0.4636589947230118,-5,P
CDK14,-5P,0.0984347107708311,-5,P
CDK16,-5P,0.1036009647484365,-5,P
CDK17,-5P,0.1647129868774154,-5,P
CDK18,-5P,0.2532017866253879,-5,P
CDK19,-5P,-0.1438577521189079,-5,P
CDKL1,-5P,0.0101727561277449,-5,P
CDKL5,-5P,-0.1071878369401386,-5,P
CHAK1,-5P,0.6123957098137393,-5,P
CHAK2,-5P,-0.2010582926261956,-5,P
CHK1,-5P,-1.2968302336501876,-5,P
CHK2,-5P,-0.1472796800836699,-5,P
CK1A,-5P,-0.0917204336653154,-5,P
CK1A2,-5P,-0.1396791702796812,-5,P
CK1D,-5P,-0.1267719192651804,-5,P
CK1E,-5P,-0.1720264725519141,-5,P
CK1G1,-5P,-0.1701095773200112,-5,P
CK1G2,-5P,-0.168112280150931,-5,P
CK1G3,-5P,-0.1396804247904676,-5,P
CK2A1,-5P,-0.407787448730219,-5,P
CK2A2,-5P,-0.2589998297615866,-5,P
CLK1,-5P,-0.0957332715509907,-5,P
CLK2,-5P,-0.1869201713159844,-5,P
CLK3,-5P,-0.2930919549143913,-5,P
CLK4,-5P,-0.0853125543772576,-5,P
COT,-5P,0.8746374915469493,-5,P
CRIK,-5P,-0.3513555505833312,-5,P
DAPK1,-5P,-0.3578390538615564,-5,P
DAPK2,-5P,0.2113573726252758,-5,P
DAPK3,-5P,-0.1434311679623514,-5,P
