kinase,substrate,target,position,aa
AAK1,-5P,1.6679707960623213,-5,P
ACVR2A,-5P,0.8430883491136273,-5,P
ACVR2B,-5P,1.0048000857829342,-5,P
AKT1,-5P,1.144904895774294,-5,P
AKT2,-5P,1.2344961830576533,-5,P
AKT3,-5P,1.5007412917095282,-5,P
ALK2,-5P,1.006428357199273,-5,P
ALK4,-5P,1.1518332585123374,-5,P
ALPHAK3,-5P,1.1622598671414646,-5,P
AMPKA1,-5P,1.0234324269030484,-5,P
AMPKA2,-5P,1.0563546981372147,-5,P
ANKRD3,-5P,1.0968697914763919,-5,P
ASK1,-5P,1.9522914178912034,-5,P
ATM,-5P,1.0713343105293938,-5,P
ATR,-5P,1.112371572023168,-5,P
AURA,-5P,0.7963276917641966,-5,P
AURB,-5P,1.234919653643552,-5,P
AURC,-5P,1.4811534808061502,-5,P
BCKDK,-5P,0.9761572104917043,-5,P
BIKE,-5P,1.3763238463530636,-5,P
BMPR1A,-5P,0.7701636529597725,-5,P
BMPR1B,-5P,1.2049414377260474,-5,P
BMPR2,-5P,1.0167407028235182,-5,P
BRAF,-5P,1.5436229800531414,-5,P
BRSK1,-5P,1.0800818884368775,-5,P
BRSK2,-5P,1.0902925105647123,-5,P
BUB1,-5P,2.0454486582318365,-5,P
CAMK1A,-5P,2.3115385988836423,-5,P
CAMK1B,-5P,1.0782280157100859,-5,P
CAMK1D,-5P,1.3967393592357822,-5,P
CAMK1G,-5P,1.214970292332349,-5,P
CAMK2A,-5P,1.41683241002602,-5,P
CAMK2B,-5P,1.0423743813460598,-5,P
CAMK2D,-5P,1.2271466831716673,-5,P
CAMK2G,-5P,0.9510991757156241,-5,P
CAMK4,-5P,0.9211362602386307,-5,P
CAMKK1,-5P,1.5874767469019564,-5,P
CAMKK2,-5P,1.6929015971742125,-5,P
CAMLCK,-5P,1.2727715008856453,-5,P
CDC7,-5P,0.9428238176382105,-5,P
CDK1,-5P,1.5075558689002604,-5,P
CDK2,-5P,1.8032423794253551,-5,P
CDK3,-5P,2.0769485644072074,-5,P
CDK4,-5P,1.7134993454871565,-5,P
CDK5,-5P,1.9849241006444296,-5,P
CDK6,-5P,1.7662173709896152,-5,P
CDK7,-5P,1.434717210990174,-5,P
CDK8,-5P,1.2169314287476727,-5,P
CDK9,-5P,1.3687795218884191,-5,P
CDK10,-5P,1.4103330641023788,-5,P
CDK12,-5P,1.593665771767396,-5,P
CDK13,-5P,1.7689362319494986,-5,P
CDK14,-5P,1.4142668751585235,-5,P
CDK16,-5P,1.601568052090274,-5,P
CDK17,-5P,1.5057865821008511,-5,P
CDK18,-5P,1.7450715790379017,-5,P
CDK19,-5P,1.0712076895007838,-5,P
CDKL1,-5P,1.1508639709081974,-5,P
CDKL5,-5P,1.1262470764303554,-5,P
CHAK1,-5P,1.4636674295456775,-5,P
CHAK2,-5P,1.0447779231741403,-5,P
CHK1,-5P,0.42208656840923947,-5,P
CHK2,-5P,1.0657164974093272,-5,P
CK1A,-5P,1.5349187087724159,-5,P
CK1A2,-5P,1.008295179905854,-5,P
CK1D,-5P,1.040755494195478,-5,P
CK1E,-5P,0.9579168289384241,-5,P
CK1G1,-5P,1.0187455679630932,-5,P
CK1G2,-5P,1.1287380424537214,-5,P
CK1G3,-5P,0.7389130356805155,-5,P
CK2A1,-5P,0.8046034171110976,-5,P
CK2A2,-5P,1.0519289402778558,-5,P
CLK1,-5P,1.2237042752921738,-5,P
CLK2,-5P,1.167637423384412,-5,P
CLK3,-5P,1.0324205055147375,-5,P
CLK4,-5P,1.193947716770639,-5,P
COT,-5P,1.542610708838457,-5,P
CRIK,-5P,0.8364713355647309,-5,P
DAPK1,-5P,0.8910375057600445,-5,P
DAPK2,-5P,1.1972753342617122,-5,P
DAPK3,-5P,1.11208278103283,-5,P
DCAMKL1,-5P,1.2518839455259396,-5,P
DCAMKL2,-5P,1.1522599666885607,-5,P
DLK,-5P,1.0089325049183913,-5,P
DMPK1,-5P,1.3209055716401168,-5,P
DNAPK,-5P,1.304769345184645,-5,P
DRAK1,-5P,1.0390057327351123,-5,P
DSTYK,-5P,1.2392540904233982,-5,P
